MKT Carrier
AA
AS
B6
HA
NK
AA
AS
B6
HA
NK
AA
AS
B6
HA
NK
AA
B6
HA
NK
AA
AS
HA
NK
AA
AS
B6
AA
AS
HA
NK
AA
AS
G4
HA
NK
AA
AS
HA
NK
AA
AS
HA
NK
WN
WN
WN
AA
AS
B6
HA
NK
WN
WN
WN
AA
AS
B6
AS
HA
NK
AA
AS
HA
NK
AA
AS
G4
HA
NK
AA
AS
HA
NK
WN
WN
WN
AA
AS
HA
WN
WN
WN
AA
AS
AS
HA
AA
AS
HA
WN
WN
AA
AS
HA
WN
WN
AA
AS
HA
AA
AS
HA
AA
AS
AA
AS
AA
AS
HA
WN
AA
AS
HA
WN
HA
AS
HA
AS
AA
AS
B6
NK
AA
AS
B6
HA
NK
AA
B6
G4
HA
NK
AA
AS
B6
HA
NK
AA
AS
B6
HA
AA
AS
B6
AA
AS
HA
AA
AS
HA
AA
AS
G4
HA
AA
HA
AA
HA
AA
AS
AA
AS
HA
WN
AA
AS
HA
AA
AS
G4
HA
AA
AS
HA
AA
AS
AS
HA
AA
AS
AS
AS
HA
WN
WN
AS
HA
AS
G4
HA
AS
HA
AS
HA
AS
AA
AS
B6
HA
WN
AA
AS
B6
HA
AA
AS
B6
G4
HA
AA
AS
B6
HA
AA
AS
B6
HA
AA
AS
B6
AS
G4
HA
AS
G4
HA
WN
WN
WN
AS
G4
HA
WN
WN
WN
HA
HA
HA
AS
HA
WN
WN
WN
WN
AS
G4
HA
WN
WN
WN
WN
AS
AS
HA
AS
AS
HA
AS
AS
AA
AS
WN
AA
AA
AS
AA
AS
AA
AS
AA
AS
HA
WN
WN
WN
AS
B6
G4
HA
B6
HA
B6
HA
WN
B6
HA
WN
B6
AA
AS
B6
HA
WN
WN
WN
WN
WN
AA
AS
B6
G4
HA
AA
AS
B6
HA
AA
AS
B6
HA
WN
WN
WN
WN
AA
AS
B6
HA
WN
WN
WN
WN
AA
AS
B6
AS
HA
WN
WN
WN
AS
HA
AS
G4
HA
AS
HA
AS
HA
AS
AS
HA
WN
AS
HA
HA
AS
HA
AS
HA
AS
AS
B6
HA
AS
B6
HA
WN
WN
WN
AS
B6
HA
WN
WN
WN
AS
B6
HA
AS
B6
G4
HA
AS
B6
AS
HA
AS
HA
WN
WN
WN
WN
WN
AS
HA
WN
WN
WN
WN
WN
AS
HA
AS
G4
HA
AS
G4
HA
WN
AS
HA
AS
G4
HA
G4
HA
HA
AS
HA
WN
WN
WN
AS
HA
AS
G4
HA
HA
HA
AS
AS
B6
HA
WN
AS
B6
HA
AS
G4
HA
HA
AS
HA
AS
AS
B6
G4
HA
WN
AS
B6
HA
B6
G4
HA
AS
B6
G4
HA
AS
B6
HA
AS
B6
AS
HA
WN
AS
G4
HA
AS
G4
HA
HA
WN
WN
WN
WN
HA
WN
WN
WN
WN
AS
AS
HA
WN
WN
WN
AS
G4
HA
G4
HA
AS
HA
WN
WN
WN
WN
WN
AS
HA
WN
WN
WN
WN
WN
AS
AS
HA
WN
AS
HA
AS
HA
AS
HA
WN
WN
WN
WN
AS
HA
WN
WN
WN
WN
AS
AA
AS
HA
AA
AS
G4
HA
WN
WN
WN
AA
AS
HA
WN
WN
WN
AA
AS
HA
AA
AS
AA
AS
AS
HA
AS
HA
WN
WN
WN
WN
WN
WN
AS
HA
WN
WN
WN
WN
WN
WN
AS
HA
AS
HA
AS
AS
HA
WN
AS
HA
AS
HA
HA
AS
HA
AS
AA
AS
HA
WN
WN
WN
AA
AS
G4
HA
AA
AS
HA
AA
AS
HA
AA
AS
HA
AA
AS
